"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_GENERO";"DS_GENERO";"CD_ESTADO_CIVIL";"DS_ESTADO_CIVIL";"CD_FAIXA_ETARIA";"DS_FAIXA_ETARIA";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"TP_CONVOCACAO";"TP_COMPARECIMENTO";"QT_MESARIOS_PERFIL"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19062";"CAPIM";"7";"4";"FEMININO";"9";"DIVORCIADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19682";"TENÓRIO";"56";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20958";"MONTEIRO";"29";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19879";"CATOLÉ DO ROCHA";"36";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19810";"CAMPINA GRANDE";"72";"2";"MASCULINO";"1";"SOLTEIRO";"1900";"19 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19755";"CAJAZEIRAS";"68";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19372";"BAYEUX";"61";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"#NULO";"3"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19607";"CASSERENGUE";"48";"2";"MASCULINO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19143";"MATINHAS";"13";"2";"MASCULINO";"3";"CASADO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"21431";"POMBAL";"31";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19844";"APARECIDA";"63";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19186";"SERTÃOZINHO";"47";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20516";"JOÃO PESSOA";"64";"4";"FEMININO";"9";"DIVORCIADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"#NULO";"5"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20311";"GURJÃO";"22";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19372";"BAYEUX";"61";"4";"FEMININO";"1";"SOLTEIRO";"2000";"20 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19968";"MARCAÇÃO";"55";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20290";"GURINHÉM";"75";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"21474";"PRINCESA ISABEL";"34";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"21059";"NOVA OLINDA";"42";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19593";"BREJO DOS SANTOS";"36";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
